frame_id,timestamp_seg,fps,tiempo_inferencia_ms,cantidad_personas,confianza_promedio_frame,conteo_entrada,conteo_salida,alerta
518,46.215,19.6044,30.7956,3,0.897,1,1,ALERTA: deteccion confiable (0.92)
519,46.285,18.8541,31.6298,3,0.8402,1,1,ALERTA: deteccion confiable (0.92)
520,46.344,24.3178,31.1019,2,0.9287,1,1,ALERTA: deteccion confiable (0.92)
521,46.393,32.0217,30.4232,2,0.9363,1,1,ALERTA: deteccion confiable (0.92)
522,46.472,16.0912,31.2388,2,0.9197,1,1,ALERTA: deteccion confiable (0.92)
523,46.526,27.5125,30.1707,2,0.9219,1,1,ALERTA: deteccion confiable (0.92)
524,46.606,15.7315,30.6029,2,0.9326,1,1,ALERTA: deteccion confiable (0.92)
525,46.663,25.0977,31.419,2,0.9248,1,1,ALERTA: deteccion confiable (0.92)
526,46.736,18.0353,29.6352,2,0.9123,1,1,ALERTA: deteccion confiable (0.92)
527,46.799,22.0212,31.3158,2,0.9086,1,1,ALERTA: deteccion confiable (0.92)
528,46.865,20.5987,30.4799,2,0.8713,1,1,ALERTA: deteccion confiable (0.92)
529,46.934,19.4613,31.1821,2,0.8999,1,1,ALERTA: deteccion confiable (0.92)
530,46.999,21.4791,30.7889,3,0.8585,1,2,ALERTA: deteccion confiable (0.92)
531,47.069,18.8672,32.428,2,0.8862,1,2,ALERTA: deteccion confiable (0.92)
532,47.134,21.7061,32.1169,2,0.8983,1,2,ALERTA: deteccion confiable (0.92)
533,47.2,20.6216,31.8222,2,0.8959,1,2,ALERTA: deteccion confiable (0.90)
534,47.264,21.7539,31.6651,2,0.9057,1,2,ALERTA: deteccion confiable (0.90)
535,47.335,18.8139,32.6121,2,0.9026,1,2,ALERTA: deteccion confiable (0.90)
536,47.397,22.7609,31.7061,2,0.9122,1,2,ALERTA: deteccion confiable (0.90)
537,47.472,17.4844,33.3791,2,0.9064,1,2,ALERTA: deteccion confiable (0.90)
538,47.53,24.5128,32.2587,2,0.9156,1,2,ALERTA: deteccion confiable (0.90)
539,47.603,18.1406,34.282,2,0.9125,1,2,ALERTA: deteccion confiable (0.90)
540,47.669,21.0969,34.4567,2,0.9117,1,2,ALERTA: deteccion confiable (0.90)
541,47.732,22.3628,34.1032,3,0.8514,1,2,ALERTA: deteccion confiable (0.90)
542,47.798,20.9087,30.983,3,0.8491,1,2,ALERTA: deteccion confiable (0.90)
543,47.865,20.6313,31.7907,3,0.8242,1,2,ALERTA: deteccion confiable (0.90)
544,47.929,21.4878,30.3111,3,0.7559,1,2,ALERTA: deteccion confiable (0.90)
545,48.003,18.0372,31.446,2,0.8011,1,2,ALERTA: deteccion confiable (0.90)
546,48.067,21.6109,33.5529,2,0.7986,1,2,ALERTA: deteccion confiable (0.90)
547,48.137,19.3143,35.629,2,0.7256,1,2,ALERTA: deteccion confiable (0.90)
548,48.201,21.7425,35.2399,1,0.5291,1,2,ALERTA: deteccion confiable (0.90)
549,48.265,21.7698,31.3132,0,,1,2,ALERTA: deteccion confiable (0.90)
550,48.342,16.8064,36.3379,0,,1,2,ALERTA: deteccion confiable (0.90)
551,48.393,29.8925,27.7011,0,,1,2,ALERTA: deteccion confiable (0.90)
552,48.471,16.4037,32.7709,0,,1,2,ALERTA: deteccion confiable (0.90)
553,48.532,22.7371,32.439,0,,1,2,ALERTA: deteccion confiable (0.90)
554,48.605,17.6488,34.62,0,,1,2,ALERTA: deteccion confiable (0.90)
555,48.667,22.021,34.2071,0,,1,2,ALERTA: deteccion confiable (0.90)
556,48.736,19.5438,33.448,0,,1,2,ALERTA: deteccion confiable (0.90)
557,48.802,20.6718,32.0382,0,,1,2,ALERTA: deteccion confiable (0.90)
558,48.87,19.7305,31.6648,0,,1,2,ALERTA: deteccion confiable (0.90)
559,48.935,20.6112,33.7279,0,,1,2,ALERTA: deteccion confiable (0.90)
560,49.003,19.6606,31.2681,0,,1,2,ALERTA: deteccion confiable (0.90)
561,49.065,22.1987,29.078,1,0.6855,1,2,ALERTA: deteccion confiable (0.90)
562,49.139,18.1539,32.45,1,0.7836,1,2,ALERTA: deteccion confiable (0.90)
563,49.203,21.9641,32.7389,2,0.8997,2,2,ALERTA: deteccion confiable (0.90)
564,49.272,20.1466,34.2352,2,0.8863,2,2,ALERTA: deteccion confiable (0.90)
565,49.334,23.034,30.3571,3,0.8283,2,2,ALERTA: deteccion confiable (0.90)
566,49.429,12.8877,29.5806,3,0.8712,2,2,ALERTA: deteccion confiable (0.90)
567,49.481,30.1421,30.5243,3,0.8319,2,2,ALERTA: deteccion confiable (0.90)
568,49.557,17.267,29.7432,3,0.857,2,2,ALERTA: deteccion confiable (0.90)
569,49.615,25.2652,29.3498,3,0.811,2,2,ALERTA: deteccion confiable (0.90)
570,49.688,18.0982,30.5848,3,0.8343,2,2,ALERTA: deteccion confiable (0.90)
571,49.753,21.2301,31.9402,3,0.8301,2,2,ALERTA: deteccion confiable (0.90)
572,49.819,21.198,30.658,3,0.8524,2,2,ALERTA: deteccion confiable (0.90)
573,49.885,20.4783,29.995,3,0.8545,2,2,ALERTA: deteccion confiable (0.90)
574,49.951,20.8543,29.634,3,0.8097,2,2,ALERTA: deteccion confiable (0.90)
575,50.02,19.4503,30.1588,3,0.813,2,2,ALERTA: deteccion confiable (0.90)
576,50.085,20.9573,30.2138,3,0.8211,2,2,ALERTA: deteccion confiable (0.90)
577,50.153,20.2552,31.0111,3,0.8575,2,2,ALERTA: deteccion confiable (0.90)
578,50.223,19.4542,30.9682,3,0.8135,2,2,ALERTA: deteccion confiable (0.90)
